Vegetarisk carpaccio på avokado;Pinjenötter;Deciliter;0.5
Vegetarisk carpaccio på avokado;Citron;Stycken;1
Vegetarisk förrätt med gröna ärtor och mynta;Surdegsbröd;Skiva;4
Vegetarisk förrätt med gröna ärtor och mynta;Vitlök;Klyfta;1
Vegetarisk förrätt med gröna ärtor och mynta;Olivolja;Matsked;4
Vegetarisk förrätt med gröna ärtor och mynta;Sojabönor;Deciliter;3
Vegetarisk förrätt med gröna ärtor och mynta;Mynta;Deciliter;1
Vegetarisk förrätt med gröna ärtor och mynta;Salt;Kryddmått;1
Vegetarisk förrätt med gröna ärtor och mynta;Peppar;Kryddmått;1
Morotsgranité med citron;Morötter;Stycken;2
Morotsgranité med citron;Citronskal;Matsked;1
Morotsgranité med citron;Socker;Deciliter;3
Morotsgranité med citron;Citronjuice;Matsked;1
Vegansk chokladmousse med avokado och kokosgrädde;Avokado;Stycken;2
Vegansk chokladmousse med avokado och kokosgrädde;Kokosgrädde;Matsked;4
Vegansk chokladmousse med avokado och kokosgrädde;Vaniljpulver;Tesked;0.5
Vegansk chokladmousse med avokado och kokosgrädde;Kakao;Deciliter;0.75
Vegansk chokladmousse med avokado och kokosgrädde;Agavesirap;Matsked;2
Vegansk chokladmousse med avokado och kokosgrädde;Flingsalt;Kryddmått;0.5
Vegansk chokladmousse med avokado och kokosgrädde;Kakaonibs;Matsked;2
Pärlcouscous med rödbetor och frukt;Rödbetor;Gram;600
Pärlcouscous med rödbetor och frukt;Rödlök;Stycken;1
Pärlcouscous med rödbetor och frukt;Fikon;Stycken;3
Pärlcouscous med rödbetor och frukt;Russin;Deciliter;0.5
Pärlcouscous med rödbetor och frukt;Couscous;Deciliter;3
Pärlcouscous med rödbetor och frukt;Blandad sallad;Gram;70
Pärlcouscous med rödbetor och frukt;Rapsolja;Matsked;3
Pärlcouscous med rödbetor och frukt;Balsamvinäger;Matsked;1
Pärlcouscous med rödbetor och frukt;Salt;Tesked;0.5
Pärlcouscous med rödbetor och frukt;Peppar;Kryddmått;1
